t_ms,ax,ay,az,gx,gy,gz
7681018,-0.0181884765625,-0.0103759765625,1.0,2.01416015625,2.13623046875,3.11279296875
7681027,-0.0181884765625,-0.0096435546875,1.000244140625,1.89208984375,2.197265625,3.2958984375
7681035,-0.0189208984375,-0.010498046875,0.9993896484375,1.953125,2.197265625,3.23486328125
7681044,-0.01806640625,-0.010498046875,0.999755859375,2.197265625,2.25830078125,3.173828125
7681054,-0.0181884765625,-0.010986328125,0.9981689453125,2.01416015625,2.25830078125,3.23486328125
7681061,-0.018798828125,-0.0098876953125,0.9998779296875,1.953125,2.197265625,3.173828125
7681070,-0.019775390625,-0.010009765625,1.0001220703125,2.13623046875,2.13623046875,3.2958984375
7681078,-0.0201416015625,-0.009521484375,0.9998779296875,2.25830078125,2.197265625,3.2958984375
7681087,-0.0206298828125,-0.0098876953125,0.9998779296875,2.01416015625,2.197265625,3.23486328125
7681095,-0.019775390625,-0.01025390625,1.0003662109375,1.953125,2.197265625,3.0517578125
7681104,-0.020263671875,-0.0108642578125,0.998779296875,2.01416015625,2.25830078125,3.11279296875
7681112,-0.0194091796875,-0.0111083984375,1.0,2.01416015625,2.197265625,3.2958984375
7681121,-0.0196533203125,-0.01025390625,1.0,1.953125,2.0751953125,3.35693359375
7681129,-0.0194091796875,-0.0107421875,0.999755859375,2.01416015625,2.13623046875,3.11279296875
7681138,-0.0189208984375,-0.01025390625,0.999755859375,2.01416015625,2.197265625,3.11279296875
7681146,-0.01806640625,-0.0108642578125,0.9993896484375,2.0751953125,2.197265625,3.23486328125
7681155,-0.0185546875,-0.0108642578125,0.9998779296875,2.01416015625,2.25830078125,3.23486328125
7681163,-0.018310546875,-0.009521484375,0.9998779296875,2.0751953125,2.197265625,3.11279296875
7681172,-0.0191650390625,-0.01025390625,1.0,1.953125,2.0751953125,3.2958984375
7681182,-0.019775390625,-0.0111083984375,1.0003662109375,2.13623046875,2.13623046875,3.35693359375
7681189,-0.018798828125,-0.0103759765625,0.9991455078125,2.13623046875,2.3193359375,3.11279296875
7681198,-0.019287109375,-0.0106201171875,0.999267578125,2.13623046875,2.38037109375,3.173828125
7681206,-0.01953125,-0.010009765625,1.0,1.953125,2.3193359375,3.0517578125
